category,amount
core,10
core,11
core,12
core,13
core,14
core,15
core,16
core,17
core,18
core,10
core,11
core,12
core,13
core,14
core,15
core,16
core,17
core,18
core,10
core,11
core,12
core,13
core,14
core,15
core,16
core,17
core,18
core,10
core,11
core,12
core,13
core,14
core,15
core,16
core,17
core,18
core,10
core,11
core,12
core,13
core,14
core,15
core,16
core,17
core,18
core,10
core,11
core,12
core,13
core,14
core,15
core,16
core,17
core,18
core,10
core,11
core,12
core,13
core,14
core,15
core,16
core,17
core,18
core,10
core,11
core,12
core,13
core,14
core,15
core,16
core,17
core,18
core,10
core,11
core,12
core,13
core,14
core,15
core,16
core,17
core,18
core,10
core,11
core,12
core,13
core,14
core,15
core,16
core,17
core,18
core,10
core,11
core,12
core,13
core,14
core,15
core,16
core,17
core,18
core,10
core,11
core,12
core,13
core,14
core,15
core,16
core,17
core,18
core,10
core,11
core,12
core,13
core,14
core,15
core,16
core,17
core,18
core,10
core,11
core,12
core,13
core,14
core,15
core,16
core,17
core,18
core,10
core,11
core,12
core,13
core,14
core,15
core,16
core,17
core,18
core,10
core,11
core,12
core,13
core,14
core,15
core,16
core,17
core,18
core,10
core,11
core,12
core,13
core,14
core,15
secondary,16
secondary,17
secondary,18
secondary,10
secondary,11
secondary,12
secondary,13
secondary,14
secondary,15
secondary,16
secondary,17
secondary,18
secondary,10
secondary,11
secondary,12
secondary,13
secondary,14
secondary,15
secondary,16
secondary,17
secondary,18
secondary,10
secondary,11
secondary,12
secondary,13
secondary,14
secondary,15
secondary,16
secondary,17
secondary,18
secondary,10
secondary,11
secondary,12
secondary,13
secondary,14
secondary,15
secondary,16
secondary,17
secondary,18
secondary,10
secondary,11
secondary,12
secondary,13
secondary,14
secondary,15
alpha,16
beta,17
gamma,18
delta,10
epsilon,11
zeta,12
eta,13
theta,14
iota,15
kappa,16
alpha,17
beta,18
gamma,10
delta,11
epsilon,12
zeta,13
eta,14
theta,15
iota,16
kappa,17
alpha,18
beta,10
gamma,11
delta,12
epsilon,13
zeta,14
eta,15
theta,16
iota,17
kappa,18
alpha,10
beta,11
gamma,12
delta,13
epsilon,14
zeta,15
eta,16
theta,17
iota,18
kappa,10
alpha,11
beta,12
gamma,13
delta,14
epsilon,15
