customer_id,plan,country,monthly_spend,orders,last_seen,marketing_opt_in
C-0001,Starter,DE,,0,2026-06-01T12:00:00Z,false
C-0002,Pro,DE,39,1,2026-06-02T12:00:00Z,true
C-0003,Team,DE,49,2,2026-06-03T12:00:00Z,true
C-0004,Starter,DE,59,3,2026-06-04T12:00:00Z,false
C-0005,Pro,DE,69,4,2026-06-05T12:00:00Z,true
C-0006,Team,DE,79,5,2026-06-06T12:00:00Z,true
C-0007,Starter,NL,89,6,2026-06-07T12:00:00Z,false
C-0008,Pro,NL,99,7,2026-06-08T12:00:00Z,true
C-0009,Team,FR,109,8,2026-06-09T12:00:00Z,true
C-0010,Starter,BE,119,9,2026-06-10T12:00:00Z,false
C-0011,Pro,DE,129,10,2026-06-11T12:00:00Z,true
C-0012,Team,DE,139,11,2026-06-12T12:00:00Z,true
C-0013,Starter,DE,29,12,2026-06-13T12:00:00Z,false
C-0014,Pro,DE,39,13,2026-06-14T12:00:00Z,true
C-0015,Team,DE,49,14,2026-06-15T12:00:00Z,true
C-0016,Starter,DE,59,15,2026-06-16T12:00:00Z,false
C-0017,Pro,NL,69,16,2026-06-17T12:00:00Z,true
C-0018,Team,NL,79,17,2026-06-18T12:00:00Z,true
C-0019,Starter,FR,89,18,2026-06-19T12:00:00Z,false
C-0020,Pro,BE,99,19,2026-06-20T12:00:00Z,true
C-0021,Team,DE,109,20,2026-06-21T12:00:00Z,true
C-0022,Starter,DE,119,21,2026-06-22T12:00:00Z,false
C-0023,Pro,DE,129,22,2026-06-23T12:00:00Z,true
C-0024,Team,DE,139,23,2026-06-24T12:00:00Z,true
C-0025,Starter,DE,29,24,2026-06-25T12:00:00Z,false
C-0026,Pro,DE,39,25,2026-06-26T12:00:00Z,true
C-0027,Team,NL,49,26,2026-06-27T12:00:00Z,true
C-0028,Starter,NL,59,27,2026-06-28T12:00:00Z,false
C-0029,Pro,FR,69,0,2026-06-01T12:00:00Z,true
C-0030,Team,BE,79,1,2026-06-02T12:00:00Z,true
C-0031,Starter,DE,89,2,2026-06-03T12:00:00Z,false
C-0032,Pro,DE,99,3,2026-06-04T12:00:00Z,true
C-0033,Team,DE,109,4,2026-06-05T12:00:00Z,true
C-0034,Starter,DE,119,5,2026-06-06T12:00:00Z,false
C-0035,Pro,DE,129,6,2026-06-07T12:00:00Z,true
C-0036,Team,DE,139,7,2026-06-08T12:00:00Z,true
C-0037,Starter,NL,29,8,2026-06-09T12:00:00Z,false
C-0038,Pro,NL,39,9,2026-06-10T12:00:00Z,true
C-0039,Team,FR,49,10,2026-06-11T12:00:00Z,true
C-0040,Starter,BE,59,11,2026-06-12T12:00:00Z,false
C-0041,Pro,DE,,12,2026-06-13T12:00:00Z,true
C-0042,Team,DE,79,13,2026-06-14T12:00:00Z,true
C-0043,Starter,DE,89,14,2026-06-15T12:00:00Z,false
C-0044,Pro,DE,99,15,2026-06-16T12:00:00Z,true
C-0045,Team,DE,109,16,2026-06-17T12:00:00Z,true
C-0046,Starter,DE,119,17,2026-06-18T12:00:00Z,false
C-0047,Pro,NL,129,18,2026-06-19T12:00:00Z,true
C-0048,Team,NL,139,19,2026-06-20T12:00:00Z,true
C-0049,Starter,FR,29,20,2026-06-21T12:00:00Z,false
C-0050,Pro,BE,39,21,2026-06-22T12:00:00Z,true
C-0051,Team,DE,49,22,2026-06-23T12:00:00Z,true
C-0052,Starter,DE,59,23,2026-06-24T12:00:00Z,false
C-0053,Pro,DE,69,24,2026-06-25T12:00:00Z,true
C-0054,Team,DE,79,25,2026-06-26T12:00:00Z,true
C-0055,Starter,DE,89,26,2026-06-27T12:00:00Z,false
C-0056,Pro,DE,99,27,2026-06-28T12:00:00Z,true
C-0057,Team,NL,109,0,2026-06-01T12:00:00Z,true
C-0058,Starter,NL,119,1,2026-06-02T12:00:00Z,false
C-0059,Pro,FR,129,2,2026-06-03T12:00:00Z,true
C-0060,Team,BE,139,3,2026-06-04T12:00:00Z,true
C-0061,Starter,DE,29,4,2026-06-05T12:00:00Z,false
C-0062,Pro,DE,39,5,2026-06-06T12:00:00Z,true
C-0063,Team,DE,49,6,2026-06-07T12:00:00Z,true
C-0064,Starter,DE,59,7,2026-06-08T12:00:00Z,false
C-0065,Pro,DE,69,8,2026-06-09T12:00:00Z,true
C-0066,Team,DE,79,9,2026-06-10T12:00:00Z,true
C-0067,Starter,NL,89,10,2026-06-11T12:00:00Z,false
C-0068,Pro,NL,99,11,2026-06-12T12:00:00Z,true
C-0069,Team,FR,109,12,2026-06-13T12:00:00Z,true
C-0070,Starter,BE,119,13,2026-06-14T12:00:00Z,false
C-0071,Pro,DE,129,14,2026-06-15T12:00:00Z,true
C-0072,Team,DE,139,15,2026-06-16T12:00:00Z,true
C-0073,Starter,DE,29,16,2026-06-17T12:00:00Z,false
C-0074,Pro,DE,39,17,2026-06-18T12:00:00Z,true
C-0075,Team,DE,49,18,2026-06-19T12:00:00Z,true
C-0076,Starter,DE,59,19,2026-06-20T12:00:00Z,false
C-0077,Pro,NL,69,20,2026-06-21T12:00:00Z,true
C-0078,Team,NL,79,21,2026-06-22T12:00:00Z,true
C-0079,Starter,FR,89,22,2026-06-23T12:00:00Z,false
C-0080,Pro,BE,99,23,2026-06-24T12:00:00Z,true
C-0081,Team,DE,,24,2026-06-25T12:00:00Z,true
C-0082,Starter,DE,119,25,2026-06-26T12:00:00Z,false
C-0083,Pro,DE,129,26,2026-06-27T12:00:00Z,true
C-0084,Team,DE,139,27,2026-06-28T12:00:00Z,true
C-0085,Starter,DE,29,0,2026-06-01T12:00:00Z,false
C-0086,Pro,DE,39,1,2026-06-02T12:00:00Z,true
C-0087,Team,NL,49,2,2026-06-03T12:00:00Z,true
C-0088,Starter,NL,59,3,2026-06-04T12:00:00Z,false
C-0089,Pro,FR,69,4,2026-06-05T12:00:00Z,true
C-0090,Team,BE,79,5,2026-06-06T12:00:00Z,true
C-0091,Starter,DE,89,6,2026-06-07T12:00:00Z,false
C-0092,Pro,DE,99,7,2026-06-08T12:00:00Z,true
C-0093,Team,DE,109,8,2026-06-09T12:00:00Z,true
C-0094,Starter,DE,119,9,2026-06-10T12:00:00Z,false
C-0095,Pro,DE,129,10,2026-06-11T12:00:00Z,true
C-0096,Team,DE,139,11,2026-06-12T12:00:00Z,true
C-0097,Starter,NL,29,12,2026-06-13T12:00:00Z,false
C-0098,Pro,NL,39,13,2026-06-14T12:00:00Z,true
C-0099,Team,FR,49,14,2026-06-15T12:00:00Z,true
C-0100,Starter,BE,59,15,2026-06-16T12:00:00Z,false
C-0101,Pro,DE,69,16,2026-06-17T12:00:00Z,true
C-0102,Team,DE,79,17,2026-06-18T12:00:00Z,true
C-0103,Starter,DE,89,18,2026-06-19T12:00:00Z,false
C-0104,Pro,DE,99,19,2026-06-20T12:00:00Z,true
C-0105,Team,DE,109,20,2026-06-21T12:00:00Z,true
C-0106,Starter,DE,119,21,2026-06-22T12:00:00Z,false
C-0107,Pro,NL,129,22,2026-06-23T12:00:00Z,true
C-0108,Team,NL,139,23,2026-06-24T12:00:00Z,true
C-0109,Starter,FR,29,24,2026-06-25T12:00:00Z,false
C-0110,Pro,BE,39,25,2026-06-26T12:00:00Z,true
C-0111,Team,DE,49,26,2026-06-27T12:00:00Z,true
C-0112,Starter,DE,59,27,2026-06-28T12:00:00Z,false
C-0113,Pro,DE,69,0,2026-06-01T12:00:00Z,true
C-0114,Team,DE,79,1,2026-06-02T12:00:00Z,true
C-0115,Starter,DE,89,2,2026-06-03T12:00:00Z,false
C-0116,Pro,DE,99,3,2026-06-04T12:00:00Z,true
C-0117,Team,NL,109,4,2026-06-05T12:00:00Z,true
C-0118,Starter,NL,119,5,2026-06-06T12:00:00Z,false
C-0119,Pro,FR,129,6,2026-06-07T12:00:00Z,true
C-0120,Team,BE,139,7,2026-06-08T12:00:00Z,true
C-0121,Starter,DE,,8,2026-06-09T12:00:00Z,false
C-0122,Pro,DE,39,9,2026-06-10T12:00:00Z,true
C-0123,Team,DE,49,10,2026-06-11T12:00:00Z,true
C-0124,Starter,DE,59,11,2026-06-12T12:00:00Z,false
C-0125,Pro,DE,69,12,2026-06-13T12:00:00Z,true
C-0126,Team,DE,79,13,2026-06-14T12:00:00Z,true
C-0127,Starter,NL,89,14,2026-06-15T12:00:00Z,false
C-0128,Pro,NL,99,15,2026-06-16T12:00:00Z,true
C-0129,Team,FR,109,16,2026-06-17T12:00:00Z,true
C-0130,Starter,BE,119,17,2026-06-18T12:00:00Z,false
C-0131,Pro,DE,129,18,2026-06-19T12:00:00Z,true
C-0132,Team,DE,139,19,2026-06-20T12:00:00Z,true
C-0133,Starter,DE,29,20,2026-06-21T12:00:00Z,false
C-0134,Pro,DE,39,21,2026-06-22T12:00:00Z,true
C-0135,Team,DE,49,22,2026-06-23T12:00:00Z,true
C-0136,Starter,DE,59,23,2026-06-24T12:00:00Z,false
C-0137,Pro,NL,69,24,2026-06-25T12:00:00Z,true
C-0138,Team,NL,79,25,2026-06-26T12:00:00Z,true
C-0139,Starter,FR,89,26,2026-06-27T12:00:00Z,false
C-0140,Pro,BE,99,27,2026-06-28T12:00:00Z,true
C-0141,Team,DE,109,0,2026-06-01T12:00:00Z,true
C-0142,Starter,DE,119,1,2026-06-02T12:00:00Z,false
C-0143,Pro,DE,129,2,2026-06-03T12:00:00Z,true
C-0144,Team,DE,139,3,2026-06-04T12:00:00Z,true
C-0145,Starter,DE,29,4,2026-06-05T12:00:00Z,false
C-0146,Pro,DE,39,5,2026-06-06T12:00:00Z,true
C-0147,Team,NL,49,6,2026-06-07T12:00:00Z,true
C-0148,Starter,NL,59,7,2026-06-08T12:00:00Z,false
C-0149,Pro,FR,69,8,2026-06-09T12:00:00Z,true
C-0150,Team,BE,79,9,2026-06-10T12:00:00Z,true
C-0151,Starter,DE,89,10,2026-06-11T12:00:00Z,false
C-0152,Pro,DE,99,11,2026-06-12T12:00:00Z,true
C-0153,Team,DE,109,12,2026-06-13T12:00:00Z,true
C-0154,Starter,DE,119,13,2026-06-14T12:00:00Z,false
C-0155,Pro,DE,129,14,2026-06-15T12:00:00Z,true
C-0156,Team,DE,139,15,2026-06-16T12:00:00Z,true
C-0157,Starter,NL,29,16,2026-06-17T12:00:00Z,false
C-0158,Pro,NL,39,17,2026-06-18T12:00:00Z,true
C-0159,Team,FR,49,18,2026-06-19T12:00:00Z,true
C-0160,Starter,BE,59,19,2026-06-20T12:00:00Z,false
C-0161,Pro,DE,,20,2026-06-21T12:00:00Z,true
C-0162,Team,DE,79,21,2026-06-22T12:00:00Z,true
C-0163,Starter,DE,89,22,2026-06-23T12:00:00Z,false
C-0164,Pro,DE,99,23,2026-06-24T12:00:00Z,true
C-0165,Team,DE,109,24,2026-06-25T12:00:00Z,true
C-0166,Starter,DE,119,25,2026-06-26T12:00:00Z,false
C-0167,Pro,NL,129,26,2026-06-27T12:00:00Z,true
C-0168,Team,NL,139,27,2026-06-28T12:00:00Z,true
C-0169,Starter,FR,29,0,2026-06-01T12:00:00Z,false
C-0170,Pro,BE,39,1,2026-06-02T12:00:00Z,true
C-0171,Team,DE,49,2,2026-06-03T12:00:00Z,true
C-0172,Starter,DE,59,3,2026-06-04T12:00:00Z,false
C-0173,Pro,DE,69,4,2026-06-05T12:00:00Z,true
C-0174,Team,DE,79,5,2026-06-06T12:00:00Z,true
C-0175,Starter,DE,89,6,2026-06-07T12:00:00Z,false
C-0176,Pro,DE,99,7,2026-06-08T12:00:00Z,true
C-0177,Team,NL,109,8,2026-06-09T12:00:00Z,true
C-0178,Starter,NL,119,9,2026-06-10T12:00:00Z,false
C-0179,Pro,FR,129,10,2026-06-11T12:00:00Z,true
C-0180,Team,BE,139,11,2026-06-12T12:00:00Z,true
C-0181,Starter,DE,29,12,2026-06-13T12:00:00Z,false
C-0182,Pro,DE,39,13,2026-06-14T12:00:00Z,true
C-0183,Team,DE,49,14,2026-06-15T12:00:00Z,true
C-0184,Starter,DE,59,15,2026-06-16T12:00:00Z,false
C-0185,Pro,DE,69,16,2026-06-17T12:00:00Z,true
C-0186,Team,DE,79,17,2026-06-18T12:00:00Z,true
C-0187,Starter,NL,89,18,2026-06-19T12:00:00Z,false
C-0188,Pro,NL,99,19,2026-06-20T12:00:00Z,true
C-0189,Team,FR,109,20,2026-06-21T12:00:00Z,true
C-0190,Starter,BE,119,21,2026-06-22T12:00:00Z,false
C-0191,Pro,DE,129,22,2026-06-23T12:00:00Z,true
C-0192,Team,DE,139,23,2026-06-24T12:00:00Z,true
C-0193,Starter,DE,29,24,2026-06-25T12:00:00Z,false
C-0194,Pro,DE,39,25,2026-06-26T12:00:00Z,true
C-0195,Team,DE,49,26,2026-06-27T12:00:00Z,true
C-0196,Starter,DE,59,27,2026-06-28T12:00:00Z,false
C-0197,Pro,NL,69,0,2026-06-01T12:00:00Z,true
C-0198,Team,NL,79,1,2026-06-02T12:00:00Z,true
C-0199,Starter,FR,89,2,2026-06-03T12:00:00Z,false
C-0200,Pro,BE,99,3,2026-06-04T12:00:00Z,true
C-0201,Team,DE,,4,2026-06-05T12:00:00Z,true
C-0202,Starter,DE,119,5,2026-06-06T12:00:00Z,false
C-0203,Pro,DE,129,6,2026-06-07T12:00:00Z,true
C-0204,Team,DE,139,7,2026-06-08T12:00:00Z,true
C-0205,Starter,DE,29,8,2026-06-09T12:00:00Z,false
C-0206,Pro,DE,39,9,2026-06-10T12:00:00Z,true
C-0207,Team,NL,49,10,2026-06-11T12:00:00Z,true
C-0208,Starter,NL,59,11,2026-06-12T12:00:00Z,false
C-0209,Pro,FR,69,12,2026-06-13T12:00:00Z,true
C-0210,Team,BE,79,13,2026-06-14T12:00:00Z,true
C-0211,Starter,DE,89,14,2026-06-15T12:00:00Z,false
C-0212,Pro,DE,99,15,2026-06-16T12:00:00Z,true
C-0213,Team,DE,109,16,2026-06-17T12:00:00Z,true
C-0214,Starter,DE,119,17,2026-06-18T12:00:00Z,false
