record_id,segment,value,tail_pattern
R-00000,priority,0,body
R-00001,standard,1,body
R-00002,standard,2,body
R-00003,standard,3,body
R-00004,standard,4,body
R-00005,priority,5,body
R-00006,standard,6,body
R-00007,standard,7,body
R-00008,standard,8,body
R-00009,standard,9,body
R-00010,priority,10,body
R-00011,standard,11,body
R-00012,standard,12,body
R-00013,standard,13,body
R-00014,standard,14,body
R-00015,priority,15,body
R-00016,standard,16,body
R-00017,standard,17,body
R-00018,standard,18,body
R-00019,standard,19,body
R-00020,priority,20,body
R-00021,standard,21,body
R-00022,standard,22,body
R-00023,standard,23,body
R-00024,standard,24,body
R-00025,priority,25,body
R-00026,standard,26,body
R-00027,standard,27,body
R-00028,standard,28,body
R-00029,standard,29,body
R-00030,priority,30,body
R-00031,standard,31,body
R-00032,standard,32,body
R-00033,standard,33,body
R-00034,standard,34,body
R-00035,priority,35,body
R-00036,standard,36,body
R-00037,standard,37,body
R-00038,standard,38,body
R-00039,standard,39,body
R-00040,priority,40,body
R-00041,standard,41,body
R-00042,standard,42,body
R-00043,standard,43,body
R-00044,standard,44,body
R-00045,priority,45,body
R-00046,standard,46,body
R-00047,standard,47,body
R-00048,standard,48,body
R-00049,standard,49,body
R-00050,priority,50,body
R-00051,standard,51,body
R-00052,standard,52,body
R-00053,standard,53,body
R-00054,standard,54,body
R-00055,priority,55,body
R-00056,standard,56,body
R-00057,standard,57,body
R-00058,standard,58,body
R-00059,standard,59,body
R-00060,priority,60,body
R-00061,standard,61,body
R-00062,standard,62,body
R-00063,standard,63,body
R-00064,standard,64,body
R-00065,priority,65,body
R-00066,standard,66,body
R-00067,standard,67,body
R-00068,standard,68,body
R-00069,standard,69,body
R-00070,priority,70,body
R-00071,standard,71,body
R-00072,standard,72,body
R-00073,standard,73,body
R-00074,standard,74,body
R-00075,priority,75,body
R-00076,standard,76,body
R-00077,standard,77,body
R-00078,standard,78,body
R-00079,standard,79,body
R-00080,priority,80,body
R-00081,standard,81,body
R-00082,standard,82,body
R-00083,standard,83,body
R-00084,standard,84,body
R-00085,priority,85,body
R-00086,standard,86,body
R-00087,standard,87,body
R-00088,standard,88,body
R-00089,standard,89,body
R-00090,priority,90,body
R-00091,standard,91,body
R-00092,standard,92,body
R-00093,standard,93,body
R-00094,standard,94,body
R-00095,priority,95,body
R-00096,standard,96,body
R-00097,standard,97,body
R-00098,standard,98,body
R-00099,standard,99,body
R-00100,priority,100,body
R-00101,standard,101,body
R-00102,standard,102,body
R-00103,standard,103,body
R-00104,standard,104,body
R-00105,priority,105,body
R-00106,standard,106,body
R-00107,standard,107,body
R-00108,standard,108,body
R-00109,standard,109,body
R-00110,priority,110,body
R-00111,standard,111,body
R-00112,standard,112,body
R-00113,standard,113,body
R-00114,standard,114,body
R-00115,priority,115,body
R-00116,standard,116,body
R-00117,standard,117,body
R-00118,standard,118,body
R-00119,standard,119,body
R-00120,priority,120,body
R-00121,standard,121,body
R-00122,standard,122,body
R-00123,standard,123,body
R-00124,standard,124,body
R-00125,priority,125,body
R-00126,standard,126,body
R-00127,standard,127,body
R-00128,standard,128,body
R-00129,standard,129,body
R-00130,priority,130,body
R-00131,standard,131,body
R-00132,standard,132,body
R-00133,standard,133,body
R-00134,standard,134,body
R-00135,priority,135,body
R-00136,standard,136,body
R-00137,standard,137,body
R-00138,standard,138,body
R-00139,standard,139,body
R-00140,priority,140,body
R-00141,standard,141,body
R-00142,standard,142,body
R-00143,standard,143,body
R-00144,standard,144,body
R-00145,priority,145,body
R-00146,standard,146,body
R-00147,standard,147,body
R-00148,standard,148,body
R-00149,standard,149,body
R-00150,priority,150,body
R-00151,standard,151,body
R-00152,standard,152,body
R-00153,standard,153,body
R-00154,standard,154,body
R-00155,priority,155,body
R-00156,standard,156,body
R-00157,standard,157,body
R-00158,standard,158,body
R-00159,standard,159,body
R-00160,priority,160,body
R-00161,standard,161,body
R-00162,standard,162,body
R-00163,standard,163,body
R-00164,standard,164,body
R-00165,priority,165,body
R-00166,standard,166,body
R-00167,standard,167,body
R-00168,standard,168,body
R-00169,standard,169,body
R-00170,priority,170,body
R-00171,standard,171,body
R-00172,standard,172,body
R-00173,standard,173,body
R-00174,standard,174,body
R-00175,priority,175,body
R-00176,standard,176,body
R-00177,standard,177,body
R-00178,standard,178,body
R-00179,standard,179,body
R-00180,priority,180,body
R-00181,standard,181,body
R-00182,standard,182,body
R-00183,standard,183,body
R-00184,standard,184,body
R-00185,priority,185,body
R-00186,standard,186,body
